"Technology Type","TRACER Level","Category","Question ID","Question Text","Question Type","Dropdown / Selection Options","Checklist Items (Yes sub-items)","Tooltip / Hint"
"ICT (Apps and System involving IoT)","TRACER Level 2","Technology Development Status","tech_dev_5_2","System Design Formulated","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 2","Technology Development Status","tech_dev_5_3","Initial Coding Completed","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 2","Technology Development Status","tech_dev_5_11","System Stable in Industry-scale Operations (Stable Release)","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 2","Market and Pre-commercialization Preparedness","market_5_25","Initial Assessment of Potential User Requirements and Usability","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 3","Technology Development Status","tech_dev_5_4","Source Code Completed","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 3","Technology Development Status","tech_dev_5_12","System/Application Ready for Full-scale Commercial Operation (Replicable Without Error)","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 4","Technology Development Status","tech_dev_5_5","Working System/Application Developed (Integrated Prototype)","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 4","Technology Development Status","tech_dev_5_13","Fully commercialized with documented royalty income","checkbox","","","The technology is fully commercialized, with the device or kit commercially available to target users and generating royalty income."
"ICT (Apps and System involving IoT)","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_5","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"ICT (Apps and System involving IoT)","TRACER Level 5","Technology Development Status","tech_dev_5_6","Alpha Testing Successfully Conducted","checkbox","","","The initial phase of system or product testing conducted internally by the development team or a limited group of users in a controlled environment, aimed at identifying bugs, functional issues, and usability problems."
"ICT (Apps and System involving IoT)","TRACER Level 5","Market and Pre-commercialization Preparedness","market_5_26","Product Promotion using Basic Technology Profile Conducted (i.e.: display in Exhibit, Tradefairs, Pitching)","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_5","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"ICT (Apps and System involving IoT)","TRACER Level 6","Technology Development Status","tech_dev_5_7","Beta testing successfully conducted with select external users","checkbox","","","Evaluation of a product or system by a limited group of external users under real-world conditions before full commercial launch, focusing on user feedback and performance validation."
"ICT (Apps and System involving IoT)","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_5","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• System/Application Deployed for Initial Industry Use → satisfies TRL 6
• Scalable Architecture Validated Under Real-world Usage → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"ICT (Apps and System involving IoT)","TRACER Level 7","Technology Development Status","tech_dev_5_8","User feedback incorporated to improve system usability, reliability, and performance","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 7","Industry Validation and Adoption Status","licensing_5","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"ICT (Apps and System involving IoT)","TRACER Level 7","Regulatory Compliance Status","certification_5","Department of Information and Communications Technology (DICT) or  National Privacy Commission (NPC)","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"ICT (Apps and System involving IoT)","TRACER Level 8","Technology Development Status","tech_dev_5_9","User Guide/manual for system created","checkbox","","",""
"ICT (Apps and System involving IoT)","TRACER Level 8","Industry Validation and Adoption Status","fairness_5","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"ICT (Apps and System involving IoT)","TRACER Level 9","Technology Development Status","tech_dev_5_10","Core System Stable in Limited Commercial Operations","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 1","Technology Development Status","tech_dev_6_1","Material Concept Identified from AANR Resources or Prior Art Search Conducted","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 1","Market and Pre-commercialization Preparedness","market_6_24","Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 2","Technology Development Status","tech_dev_6_2","Potential Material Properties Identified","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 2","Technology Development Status","tech_dev_6_3","Material Formulation or Composition Defined","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 2","Technology Development Status","tech_dev_6_11","Performance Tested Under Simulated or Relevant Conditions","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 2","Market and Pre-commercialization Preparedness","market_6_25","Preliminary Assessment on the Potential User","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 3","Technology Development Status","tech_dev_6_4","Intended Application Identified (e.g., Construction, Packaging, Handicrafts)","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 3","Technology Development Status","tech_dev_6_12","Initial Cost and Raw Material Availability Assessed","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 4","Technology Development Status","tech_dev_6_5","Initial Laboratory Scale Processing Method Proposed","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 4","Technology Development Status","tech_dev_6_13","Prototype Material or Product Fabricated","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 4","Technology Development Status","tech_dev_6_14","Demonstrated Performance in Intended Application (e.g.: Wall Panel, Packaging Unit)","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_6","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"Natural Resource–Derived Materials","TRACER Level 5","Technology Development Status","tech_dev_6_6","Laboratory-scale Sample Produced","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 5","Technology Development Status","tech_dev_6_16","Final Material Specification Established","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 5","Market and Pre-commercialization Preparedness","market_6_26","Product Promotion using Basic Technology Profile Conducted (i.e.: display in Exhibit, Tradefairs, Pitching)","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_6","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"Natural Resource–Derived Materials","TRACER Level 6","Technology Development Status","tech_dev_6_7","Preliminary Testing Conducted (e.g.: Tensile Strength, Density, Absorption)","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 6","Technology Development Status","tech_dev_6_15","Standardized Production Protocol/Manual  Established","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_6","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• Field Testing Completed (e.g.: Construction Site, Packaging Trial) → satisfies TRL 6
• Scaled-up Production/Process Validated → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"Natural Resource–Derived Materials","TRACER Level 7","Technology Development Status","tech_dev_6_8","Repeatable Laboratory-scale Production Achieved","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 7","Industry Validation and Adoption Status","licensing_6","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"Natural Resource–Derived Materials","TRACER Level 7","Regulatory Compliance Status","certification_6","Regulatory or Standards Compliance","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"Natural Resource–Derived Materials","TRACER Level 8","Technology Development Status","tech_dev_6_9","Standard Laboratory Tests Completed (e.g., ASTM/ISO-aligned methods)","checkbox","","",""
"Natural Resource–Derived Materials","TRACER Level 8","Industry Validation and Adoption Status","fairness_6","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"Natural Resource–Derived Materials","TRACER Level 9","Technology Development Status","tech_dev_6_10","Pilot-scale Material Production Conducted","checkbox","","","Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10× to 100× increase in production volume relative to laboratory scale."
"New Plant Variety (Conventional)","TRACER Level 1","Technology Development Status","tech_dev_7_1","Concept Development or Breeding Objectives Identified or Prior Art Search Conducted","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 1","Market and Pre-commercialization Preparedness","market_7_24","Potential End-users and Target Markets Identified","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 2","Technology Development Status","tech_dev_7_2","Germplasm Collected","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 2","Technology Development Status","tech_dev_7_3","Plant Genetics, Traits, and Breeding Foundation Reviewed","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 2","Technology Development Status","tech_dev_7_11","Preliminary Field Trials Conducted in Controlled Plots","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 2","Market and Pre-commercialization Preparedness","market_7_25","Preliminary Market Requirements Considered (Trait, Relevance, Consumer/end-user needs)","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 3","Technology Development Status","tech_dev_7_4","Target Traits Clearly Identified","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 3","Technology Development Status","tech_dev_7_12","Field Performance Documentation Prepared","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 4","Technology Development Status","tech_dev_7_5","Breeding Plan Prepared","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 4","Technology Development Status","tech_dev_7_13","Seed/Plant Materials Production Protocol Standardized for Commercial Adoption","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 4","Technology Development Status","tech_dev_7_14","Stable and Consistent Seed/Plant Production at Industry Scale Achieved","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_7","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"New Plant Variety (Conventional)","TRACER Level 5","Technology Development Status","tech_dev_7_6","Initial Crosses or Mutation Events Conducted","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_7","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"New Plant Variety (Conventional)","TRACER Level 6","Technology Development Status","tech_dev_7_7","Progeny Produced and Screened for Presence of Target Traits","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 6","Technology Development Status","tech_dev_7_15","Fully Commercialized with Documented Royalty Income","checkbox","","","The new plant variety is fully commercialized, making the variety commercially available to target users, and generating royalty income."
"New Plant Variety (Conventional)","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_7","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• Multi-location Trials Initaited to Evaluate Performance Across Environments → satisfies TRL 6
• Early-stage Feedback from Potential Seed Users/Multi-location Test Result → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"New Plant Variety (Conventional)","TRACER Level 7","Technology Development Status","tech_dev_7_8","Progeny Successfully Grown Under Controlled Conditions (i.e.: in Greenhouse, Screenhouse, etc.)","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 7","Industry Validation and Adoption Status","licensing_7","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"New Plant Variety (Conventional)","TRACER Level 7","Regulatory Compliance Status","certification_7","Certification/Approval from National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI)","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"New Plant Variety (Conventional)","TRACER Level 8","Technology Development Status","tech_dev_7_9","Target Traits Confirmed in Progeny","checkbox","","",""
"New Plant Variety (Conventional)","TRACER Level 8","Industry Validation and Adoption Status","fairness_7","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"New Plant Variety (Conventional)","TRACER Level 9","Technology Development Status","tech_dev_7_10","Stable and Pure Lines Selected","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 1","Technology Development Status","tech_dev_8_1","Concept Development or Breeding Objectives Identified or Prior Art Search Conducted","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 1","Market and Pre-commercialization Preparedness","market_8_24","Potential End-users and Target Markets Identified","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 2","Technology Development Status","tech_dev_8_2","Bioinformatic Analysis of Gene Function/In-silico Studies Conducted","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 2","Technology Development Status","tech_dev_8_3","Germplasm Collected","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 2","Technology Development Status","tech_dev_8_11","Edited/Modified Lines Evaluated in Greenhouse or Actual Field Plots","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 2","Market and Pre-commercialization Preparedness","market_8_25","Preliminary Market Requirements Considered (Trait, Relevance, Consumer/end-user needs)","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 3","Technology Development Status","tech_dev_8_4","Marker Developed/Gene Identified","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 3","Technology Development Status","tech_dev_8_12","Agronomic and Phenotypic Data Collected","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 4","Technology Development Status","tech_dev_8_5","Molecular Construct Planned (CRISPR, RNAi)","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 4","Technology Development Status","tech_dev_8_13","Contained Field Trial/Confined Test for GM Crops Conducted","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 4","Technology Development Status","tech_dev_8_14","Seed Materials Production Protocol Standardized for Commercial Adoption","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_8","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 5","Technology Development Status","tech_dev_8_6","Genetic Modification Designs Developed (CRISPR/RNAi Constructs)","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 5","Technology Development Status","tech_dev_8_16","Fully Commercialized with Documented Royalty Income","checkbox","","","The new plant variety is fully commercialized, making the variety commercially available to target users, with royalty fees paid to the IP owner."
"New Plant Variety (Gene-Edited and GM)","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_8","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 6","Technology Development Status","tech_dev_8_7","Transformation or Gene Editing in Laboratory or Growth Chamber Conducted","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 6","Technology Development Status","tech_dev_8_15","Stable and Consistent Seed Production at Industry Scale Achieved","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_8","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• Multi-location Confined Field Trials Initiated → satisfies TRL 6
• Industry Feedback Collected/Multi-location Test Result → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 7","Technology Development Status","tech_dev_8_8","Edited/Modified Plant Regenerated","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 7","Industry Validation and Adoption Status","licensing_8","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 7","Regulatory Compliance Status","certification_8","Certification/Approval from National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI)","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 8","Technology Development Status","tech_dev_8_9","Target Traits Confirmed via Sequencing, PCR, or Marker Analysis","checkbox","","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 8","Industry Validation and Adoption Status","fairness_8","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"New Plant Variety (Gene-Edited and GM)","TRACER Level 9","Technology Development Status","tech_dev_8_10","Preliminary Phenotyping under Greenhouse Conducted","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 1","Technology Development Status","tech_dev_9_1","Concept Development or Breeding Objectives Identified","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 1","Market and Pre-commercialization Preparedness","market_9_24","Potential End-users and Target Markets Identified","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 2","Technology Development Status","tech_dev_9_2","Parent Animals with Desirable Traits Selected","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 2","Technology Development Status","tech_dev_9_3","Genetics, Lineage, and Breeding Foundation Reviewed","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 2","Technology Development Status","tech_dev_9_11","Preliminary Field Trials Conducted in Controlled Farm/Aquaculture Plots","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 2","Market and Pre-commercialization Preparedness","market_9_25","Preliminary Assessment of Market Demand","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 3","Technology Development Status","tech_dev_9_4","Target Traits for Improvement Identified","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 3","Technology Development Status","tech_dev_9_12","Data Collected for Growth, Survivability, Product Quality, and Adaptability","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 4","Technology Development Status","tech_dev_9_5","Initial Crosses, Selective Breeding, or Genetic Modification Conducted","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 4","Technology Development Status","tech_dev_9_13","Protocols Standardized for Propagation of New Breed/Strain","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 4","Technology Development Status","tech_dev_9_14","Stable and Consistent Breeding Achieved at Industry Scale","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 4","Industry Validation and Adoption Status","industry_partner_9","Industry Partner for Industry Testing","dropdown","• No Industry Partner Identified
• Identified Potential Industry Partner → satisfies TRL 4
• Initial Meeting with Potential Industry Partners → satisfies TRL 5
• Signed Agreement with Industry Partner for Industry Testing → satisfies TRL 6
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 6","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 5","Technology Development Status","tech_dev_9_6","Progeny Produced and Screened for Presence of Target Traits","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 5","Market and Pre-commercialization Preparedness","precom_docs_9","With Available Pre-commercialization Documents","multi-conditional","• No
• Yes
• Not Required/Optional Only (Privately Funded)","• Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
• Initial Business Model Canvas (BMC) Accomplished
• Freedom to Operate (FTO) Report Prepared
• IP Valuation Prepared
• Technology Commercialization Plan Prepared",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 6","Technology Development Status","tech_dev_9_7","Breeding Events Documented","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 6","Technology Development Status","tech_dev_9_15","Fully Commercialized with Documented Royalty Income","checkbox","","","The new animal breed or genetic resource is fully commercialized, making it commercially available to target users, and generating royalty income."
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 6","Industry Validation and Adoption Status","industry_validation_9","Industry Testing/Validation","dropdown","• No Industry Validation Initiatives
• Multi-location Trials Initiated Across Diverse Environmental Conditions → satisfies TRL 6
• Industry Feedback Collected/Multi-location Test Result → satisfies TRL 7
• Not Required/Optional Only (Technology is for Spin-off) → satisfies TRL 7","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 7","Technology Development Status","tech_dev_9_8","Progeny RaisedUnder Controlled Conditions (Hatchery, Nursery, Farm, or Experimental Facility)","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 7","Industry Validation and Adoption Status","licensing_9","Licensing Status","dropdown","• No Licensing Yet
• Secure Letter of Intent for Licensing → satisfies TRL 7
• With Letter of Intent and Licensing Terms Undergoing Negotiation → satisfies TRL 7
• Licensing Terms Negotiated or DOST Term Sheet Signed → satisfies TRL 8
• Signed Technology Licensing Agreement → satisfies TRL 9","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 7","Regulatory Compliance Status","certification_9","Regulatory Compliance  (Bureau of Animal Industry (BAI) for Livestock / poultry breeds; National Dairy Authority (NDA) for Dairy cattle genetics; Philippine Carabao Center (PCC) for Carabao breeding; Bureau of Fisheries and Aquatic Resources (BFAR) for Fish / aquatic species)","dropdown","• Not Yet Initiated
• Processing of Requirements → satisfies TRL 7
• Certification/Approval Obtained → satisfies TRL 8
• Not Required/Not Applicable → satisfies TRL 8","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 8","Technology Development Status","tech_dev_9_9","Target Traits Confirmed in Progeny (Growth, Disease Resistance, Environmental Tolerance)","checkbox","","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 8","Industry Validation and Adoption Status","fairness_9","Fairness Opinion Report","dropdown","• Not Requested
• Requested → satisfies TRL 8
• Not Required (Privately Funded) → satisfies TRL 8","",""
"New Animal Breed or Genetic Resources (Aquatic and Terrestrial)","TRACER Level 9","Technology Development Status","tech_dev_9_10","Stable Lines/Strain or Family Groups Selected","checkbox","","",""
