Column1,Column2,Column3,Column5,Column6,Column7,Column8,Column9
ICT (Apps and System involving IoT),TRACER Level 6,Technology Development Status,Beta testing successfully conducted with select external users,checkbox,,,"Evaluation of a product or system by a limited group of external users under real-world conditions before full commercial launch, focusing on user feedback and performance validation."
ICT (Apps and System involving IoT),TRACER Level 6,Industry Validation and Adoption Status,Industry Testing/Validation,dropdown,"? No Industry Validation Initiatives
? System/Application Deployed for Initial Industry Use ? satisfies TRL 6
? Scalable Architecture Validated Under Real-world Usage ? satisfies TRL 7
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 7",,
ICT (Apps and System involving IoT),TRACER Level 7,Technology Development Status,"User feedback incorporated to improve system usability, reliability, and performance",checkbox,,,
ICT (Apps and System involving IoT),TRACER Level 7,Industry Validation and Adoption Status,Licensing Status,dropdown,"? No Licensing Yet
? Secure Letter of Intent for Licensing ? satisfies TRL 7
? With Letter of Intent and Licensing Terms Undergoing Negotiation ? satisfies TRL 7
? Licensing Terms Negotiated or DOST Term Sheet Signed ? satisfies TRL 8
? Signed Technology Licensing Agreement ? satisfies TRL 9",,
ICT (Apps and System involving IoT),TRACER Level 7,Regulatory Compliance Status,Department of Information and Communications Technology (DICT) or  National Privacy Commission (NPC),dropdown,"? Not Yet Initiated
? Processing of Requirements ? satisfies TRL 7
? Certification/Approval Obtained ? satisfies TRL 8
? Not Required/Not Applicable ? satisfies TRL 8",,
ICT (Apps and System involving IoT),TRACER Level 8,Technology Development Status,User Guide/manual for system created,checkbox,,,
ICT (Apps and System involving IoT),TRACER Level 8,Industry Validation and Adoption Status,Fairness Opinion Report,dropdown,"? Not Requested
? Requested ? satisfies TRL 8
? Not Required (Privately Funded) ? satisfies TRL 8",,
ICT (Apps and System involving IoT),TRACER Level 9,Technology Development Status,Core System Stable in Limited Commercial Operations,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 1,Technology Development Status,Material Concept Identified from AANR Resources or Prior Art Search Conducted,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 1,Market and Pre-commercialization Preparedness,Potential End-users or Target Beneficiaries and Potential Industry Relevance Identified,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 2,Technology Development Status,Potential Material Properties Identified,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 2,Technology Development Status,Material Formulation or Composition Defined,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 2,Technology Development Status,Performance Tested Under Simulated or Relevant Conditions,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 2,Market and Pre-commercialization Preparedness,Preliminary Assessment on the Potential User,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 3,Technology Development Status,"Intended Application Identified (e.g., Construction, Packaging, Handicrafts)",checkbox,,,
Natural Resource?Derived Materials,TRACER Level 3,Technology Development Status,Initial Cost and Raw Material Availability Assessed,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 4,Technology Development Status,Initial Laboratory Scale Processing Method Proposed,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 4,Technology Development Status,Prototype Material or Product Fabricated,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 4,Technology Development Status,"Demonstrated Performance in Intended Application (e.g.: Wall Panel, Packaging Unit)",checkbox,,,
Natural Resource?Derived Materials,TRACER Level 4,Industry Validation and Adoption Status,Industry Partner for Industry Testing,dropdown,"? No Industry Partner Identified
? Identified Potential Industry Partner ? satisfies TRL 4
? Initial Meeting with Potential Industry Partners ? satisfies TRL 5
? Signed Agreement with Industry Partner for Industry Testing ? satisfies TRL 6
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 6",,
Natural Resource?Derived Materials,TRACER Level 5,Technology Development Status,Laboratory-scale Sample Produced,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 5,Technology Development Status,Final Material Specification Established,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 5,Market and Pre-commercialization Preparedness,"Product Promotion using Basic Technology Profile Conducted (i.e.: display in Exhibit, Tradefairs, Pitching)",checkbox,,,
Natural Resource?Derived Materials,TRACER Level 5,Market and Pre-commercialization Preparedness,With Available Pre-commercialization Documents,multi-conditional,"? No
? Yes
? Not Required/Optional Only (Privately Funded)","? Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
? Initial Business Model Canvas (BMC) Accomplished
? Freedom to Operate (FTO) Report Prepared
? IP Valuation Prepared
? Technology Commercialization Plan Prepared",
Natural Resource?Derived Materials,TRACER Level 6,Technology Development Status,"Preliminary Testing Conducted (e.g.: Tensile Strength, Density, Absorption)",checkbox,,,
Natural Resource?Derived Materials,TRACER Level 6,Technology Development Status,Standardized Production Protocol/Manual  Established,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 6,Industry Validation and Adoption Status,Industry Testing/Validation,dropdown,"? No Industry Validation Initiatives
? Field Testing Completed (e.g.: Construction Site, Packaging Trial) ? satisfies TRL 6
? Scaled-up Production/Process Validated ? satisfies TRL 7
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 7",,
Natural Resource?Derived Materials,TRACER Level 7,Technology Development Status,Repeatable Laboratory-scale Production Achieved,checkbox,,,
Natural Resource?Derived Materials,TRACER Level 7,Industry Validation and Adoption Status,Licensing Status,dropdown,"? No Licensing Yet
? Secure Letter of Intent for Licensing ? satisfies TRL 7
? With Letter of Intent and Licensing Terms Undergoing Negotiation ? satisfies TRL 7
? Licensing Terms Negotiated or DOST Term Sheet Signed ? satisfies TRL 8
? Signed Technology Licensing Agreement ? satisfies TRL 9",,
Natural Resource?Derived Materials,TRACER Level 7,Regulatory Compliance Status,Regulatory or Standards Compliance,dropdown,"? Not Yet Initiated
? Processing of Requirements ? satisfies TRL 7
? Certification/Approval Obtained ? satisfies TRL 8
? Not Required/Not Applicable ? satisfies TRL 8",,
Natural Resource?Derived Materials,TRACER Level 8,Technology Development Status,"Standard Laboratory Tests Completed (e.g., ASTM/ISO-aligned methods)",checkbox,,,
Natural Resource?Derived Materials,TRACER Level 8,Industry Validation and Adoption Status,Fairness Opinion Report,dropdown,"? Not Requested
? Requested ? satisfies TRL 8
? Not Required (Privately Funded) ? satisfies TRL 8",,
Natural Resource?Derived Materials,TRACER Level 9,Technology Development Status,Pilot-scale Material Production Conducted,checkbox,,,"Pilot scale production refers to the intermediate stage between laboratory experimentation and full commercial manufacturing, involving a 10? to 100? increase in production volume relative to laboratory scale."
New Plant Variety (Conventional),TRACER Level 1,Technology Development Status,Concept Development or Breeding Objectives Identified or Prior Art Search Conducted,checkbox,,,
New Plant Variety (Conventional),TRACER Level 1,Market and Pre-commercialization Preparedness,Potential End-users and Target Markets Identified,checkbox,,,
New Plant Variety (Conventional),TRACER Level 2,Technology Development Status,Germplasm Collected,checkbox,,,
New Plant Variety (Conventional),TRACER Level 2,Technology Development Status,"Plant Genetics, Traits, and Breeding Foundation Reviewed",checkbox,,,
New Plant Variety (Conventional),TRACER Level 2,Technology Development Status,Preliminary Field Trials Conducted in Controlled Plots,checkbox,,,
New Plant Variety (Conventional),TRACER Level 2,Market and Pre-commercialization Preparedness,"Preliminary Market Requirements Considered (Trait, Relevance, Consumer/end-user needs)",checkbox,,,
New Plant Variety (Conventional),TRACER Level 3,Technology Development Status,Target Traits Clearly Identified,checkbox,,,
New Plant Variety (Conventional),TRACER Level 3,Technology Development Status,Field Performance Documentation Prepared,checkbox,,,
New Plant Variety (Conventional),TRACER Level 4,Technology Development Status,Breeding Plan Prepared,checkbox,,,
New Plant Variety (Conventional),TRACER Level 4,Technology Development Status,Seed/Plant Materials Production Protocol Standardized for Commercial Adoption,checkbox,,,
New Plant Variety (Conventional),TRACER Level 4,Technology Development Status,Stable and Consistent Seed/Plant Production at Industry Scale Achieved,checkbox,,,
New Plant Variety (Conventional),TRACER Level 4,Industry Validation and Adoption Status,Industry Partner for Industry Testing,dropdown,"? No Industry Partner Identified
? Identified Potential Industry Partner ? satisfies TRL 4
? Initial Meeting with Potential Industry Partners ? satisfies TRL 5
? Signed Agreement with Industry Partner for Industry Testing ? satisfies TRL 6
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 6",,
New Plant Variety (Conventional),TRACER Level 5,Technology Development Status,Initial Crosses or Mutation Events Conducted,checkbox,,,
New Plant Variety (Conventional),TRACER Level 5,Market and Pre-commercialization Preparedness,With Available Pre-commercialization Documents,multi-conditional,"? No
? Yes
? Not Required/Optional Only (Privately Funded)","? Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
? Initial Business Model Canvas (BMC) Accomplished
? Freedom to Operate (FTO) Report Prepared
? IP Valuation Prepared
? Technology Commercialization Plan Prepared",
New Plant Variety (Conventional),TRACER Level 6,Technology Development Status,Progeny Produced and Screened for Presence of Target Traits,checkbox,,,
New Plant Variety (Conventional),TRACER Level 6,Technology Development Status,Fully Commercialized with Documented Royalty Income,checkbox,,,"The new plant variety is fully commercialized, making the variety commercially available to target users, and generating royalty income."
New Plant Variety (Conventional),TRACER Level 6,Industry Validation and Adoption Status,Industry Testing/Validation,dropdown,"? No Industry Validation Initiatives
? Multi-location Trials Initaited to Evaluate Performance Across Environments ? satisfies TRL 6
? Early-stage Feedback from Potential Seed Users/Multi-location Test Result ? satisfies TRL 7
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 7",,
New Plant Variety (Conventional),TRACER Level 7,Technology Development Status,"Progeny Successfully Grown Under Controlled Conditions (i.e.: in Greenhouse, Screenhouse, etc.)",checkbox,,,
New Plant Variety (Conventional),TRACER Level 7,Industry Validation and Adoption Status,Licensing Status,dropdown,"? No Licensing Yet
? Secure Letter of Intent for Licensing ? satisfies TRL 7
? With Letter of Intent and Licensing Terms Undergoing Negotiation ? satisfies TRL 7
? Licensing Terms Negotiated or DOST Term Sheet Signed ? satisfies TRL 8
? Signed Technology Licensing Agreement ? satisfies TRL 9",,
New Plant Variety (Conventional),TRACER Level 7,Regulatory Compliance Status,Certification/Approval from National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI),dropdown,"? Not Yet Initiated
? Processing of Requirements ? satisfies TRL 7
? Certification/Approval Obtained ? satisfies TRL 8
? Not Required/Not Applicable ? satisfies TRL 8",,
New Plant Variety (Conventional),TRACER Level 8,Technology Development Status,Target Traits Confirmed in Progeny,checkbox,,,
New Plant Variety (Conventional),TRACER Level 8,Industry Validation and Adoption Status,Fairness Opinion Report,dropdown,"? Not Requested
? Requested ? satisfies TRL 8
? Not Required (Privately Funded) ? satisfies TRL 8",,
New Plant Variety (Conventional),TRACER Level 9,Technology Development Status,Stable and Pure Lines Selected,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 1,Technology Development Status,Concept Development or Breeding Objectives Identified or Prior Art Search Conducted,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 1,Market and Pre-commercialization Preparedness,Potential End-users and Target Markets Identified,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 2,Technology Development Status,Bioinformatic Analysis of Gene Function/In-silico Studies Conducted,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 2,Technology Development Status,Germplasm Collected,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 2,Technology Development Status,Edited/Modified Lines Evaluated in Greenhouse or Actual Field Plots,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 2,Market and Pre-commercialization Preparedness,"Preliminary Market Requirements Considered (Trait, Relevance, Consumer/end-user needs)",checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 3,Technology Development Status,Marker Developed/Gene Identified,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 3,Technology Development Status,Agronomic and Phenotypic Data Collected,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 4,Technology Development Status,"Molecular Construct Planned (CRISPR, RNAi)",checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 4,Technology Development Status,Contained Field Trial/Confined Test for GM Crops Conducted,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 4,Technology Development Status,Seed Materials Production Protocol Standardized for Commercial Adoption,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 4,Industry Validation and Adoption Status,Industry Partner for Industry Testing,dropdown,"? No Industry Partner Identified
? Identified Potential Industry Partner ? satisfies TRL 4
? Initial Meeting with Potential Industry Partners ? satisfies TRL 5
? Signed Agreement with Industry Partner for Industry Testing ? satisfies TRL 6
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 6",,
New Plant Variety (Gene-Edited and GM),TRACER Level 5,Technology Development Status,Genetic Modification Designs Developed (CRISPR/RNAi Constructs),checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 5,Technology Development Status,Fully Commercialized with Documented Royalty Income,checkbox,,,"The new plant variety is fully commercialized, making the variety commercially available to target users, with royalty fees paid to the IP owner."
New Plant Variety (Gene-Edited and GM),TRACER Level 5,Market and Pre-commercialization Preparedness,With Available Pre-commercialization Documents,multi-conditional,"? No
? Yes
? Not Required/Optional Only (Privately Funded)","? Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
? Initial Business Model Canvas (BMC) Accomplished
? Freedom to Operate (FTO) Report Prepared
? IP Valuation Prepared
? Technology Commercialization Plan Prepared",
New Plant Variety (Gene-Edited and GM),TRACER Level 6,Technology Development Status,Transformation or Gene Editing in Laboratory or Growth Chamber Conducted,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 6,Technology Development Status,Stable and Consistent Seed Production at Industry Scale Achieved,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 6,Industry Validation and Adoption Status,Industry Testing/Validation,dropdown,"? No Industry Validation Initiatives
? Multi-location Confined Field Trials Initiated ? satisfies TRL 6
? Industry Feedback Collected/Multi-location Test Result ? satisfies TRL 7
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 7",,
New Plant Variety (Gene-Edited and GM),TRACER Level 7,Technology Development Status,Edited/Modified Plant Regenerated,checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 7,Industry Validation and Adoption Status,Licensing Status,dropdown,"? No Licensing Yet
? Secure Letter of Intent for Licensing ? satisfies TRL 7
? With Letter of Intent and Licensing Terms Undergoing Negotiation ? satisfies TRL 7
? Licensing Terms Negotiated or DOST Term Sheet Signed ? satisfies TRL 8
? Signed Technology Licensing Agreement ? satisfies TRL 9",,
New Plant Variety (Gene-Edited and GM),TRACER Level 7,Regulatory Compliance Status,Certification/Approval from National Seed Industry Council (NSIC) or Department of Agriculture-Bureau of Plant Industry (DA-BPI),dropdown,"? Not Yet Initiated
? Processing of Requirements ? satisfies TRL 7
? Certification/Approval Obtained ? satisfies TRL 8
? Not Required/Not Applicable ? satisfies TRL 8",,
New Plant Variety (Gene-Edited and GM),TRACER Level 8,Technology Development Status,"Target Traits Confirmed via Sequencing, PCR, or Marker Analysis",checkbox,,,
New Plant Variety (Gene-Edited and GM),TRACER Level 8,Industry Validation and Adoption Status,Fairness Opinion Report,dropdown,"? Not Requested
? Requested ? satisfies TRL 8
? Not Required (Privately Funded) ? satisfies TRL 8",,
New Plant Variety (Gene-Edited and GM),TRACER Level 9,Technology Development Status,Preliminary Phenotyping under Greenhouse Conducted,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 1,Technology Development Status,Concept Development or Breeding Objectives Identified,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 1,Market and Pre-commercialization Preparedness,Potential End-users and Target Markets Identified,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 2,Technology Development Status,Parent Animals with Desirable Traits Selected,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 2,Technology Development Status,"Genetics, Lineage, and Breeding Foundation Reviewed",checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 2,Technology Development Status,Preliminary Field Trials Conducted in Controlled Farm/Aquaculture Plots,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 2,Market and Pre-commercialization Preparedness,Preliminary Assessment of Market Demand,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 3,Technology Development Status,Target Traits for Improvement Identified,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 3,Technology Development Status,"Data Collected for Growth, Survivability, Product Quality, and Adaptability",checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 4,Technology Development Status,"Initial Crosses, Selective Breeding, or Genetic Modification Conducted",checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 4,Technology Development Status,Protocols Standardized for Propagation of New Breed/Strain,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 4,Technology Development Status,Stable and Consistent Breeding Achieved at Industry Scale,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 4,Industry Validation and Adoption Status,Industry Partner for Industry Testing,dropdown,"? No Industry Partner Identified
? Identified Potential Industry Partner ? satisfies TRL 4
? Initial Meeting with Potential Industry Partners ? satisfies TRL 5
? Signed Agreement with Industry Partner for Industry Testing ? satisfies TRL 6
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 6",,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 5,Technology Development Status,Progeny Produced and Screened for Presence of Target Traits,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 5,Market and Pre-commercialization Preparedness,With Available Pre-commercialization Documents,multi-conditional,"? No
? Yes
? Not Required/Optional Only (Privately Funded)","? Market Viability Assessment or Market/Feasibility Study using At least Secondary Data
? Initial Business Model Canvas (BMC) Accomplished
? Freedom to Operate (FTO) Report Prepared
? IP Valuation Prepared
? Technology Commercialization Plan Prepared",
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 6,Technology Development Status,Breeding Events Documented,checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 6,Technology Development Status,Fully Commercialized with Documented Royalty Income,checkbox,,,"The new animal breed or genetic resource is fully commercialized, making it commercially available to target users, and generating royalty income."
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 6,Industry Validation and Adoption Status,Industry Testing/Validation,dropdown,"? No Industry Validation Initiatives
? Multi-location Trials Initiated Across Diverse Environmental Conditions ? satisfies TRL 6
? Industry Feedback Collected/Multi-location Test Result ? satisfies TRL 7
? Not Required/Optional Only (Technology is for Spin-off) ? satisfies TRL 7",,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 7,Technology Development Status,"Progeny RaisedUnder Controlled Conditions (Hatchery, Nursery, Farm, or Experimental Facility)",checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 7,Industry Validation and Adoption Status,Licensing Status,dropdown,"? No Licensing Yet
? Secure Letter of Intent for Licensing ? satisfies TRL 7
? With Letter of Intent and Licensing Terms Undergoing Negotiation ? satisfies TRL 7
? Licensing Terms Negotiated or DOST Term Sheet Signed ? satisfies TRL 8
? Signed Technology Licensing Agreement ? satisfies TRL 9",,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 7,Regulatory Compliance Status,Regulatory Compliance  (Bureau of Animal Industry (BAI) for Livestock / poultry breeds; National Dairy Authority (NDA) for Dairy cattle genetics; Philippine Carabao Center (PCC) for Carabao breeding; Bureau of Fisheries and Aquatic Resources (BFAR) for Fish / aquatic species),dropdown,"? Not Yet Initiated
? Processing of Requirements ? satisfies TRL 7
? Certification/Approval Obtained ? satisfies TRL 8
? Not Required/Not Applicable ? satisfies TRL 8",,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 8,Technology Development Status,"Target Traits Confirmed in Progeny (Growth, Disease Resistance, Environmental Tolerance)",checkbox,,,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 8,Industry Validation and Adoption Status,Fairness Opinion Report,dropdown,"? Not Requested
? Requested ? satisfies TRL 8
? Not Required (Privately Funded) ? satisfies TRL 8",,
New Animal Breed or Genetic Resources (Aquatic and Terrestrial),TRACER Level 9,Technology Development Status,Stable Lines/Strain or Family Groups Selected,checkbox,,,
